NAME,CrownStress,Defoliation,Discoloration,Dieback,CrownLight,Transparency
S-M19-NYSY-010,2,1,2,2,1,35
S-M19-NYSY-010,2,1,2,2,2,45
S-M19-NYSY-014,2,1,2,2,4,35
S-M19-NYSY-014,2,1,2,2,4,35
S-O21-ACBU-055,1,1,2,1,5,15
S-O21-ACBU-055,1,1,2,1,5,15
S-O21-COFL-046,3,1,3,2,1,35
S-O21-COFL-046,3,1,3,2,1,35
S-O21-MAVI-068,2,2,2,1,5,65
S-O21-MAVI-068,1,2,1,1,5,55
S-O21-PRYE-019,1,2,2,1,5,35
S-O21-PRYE-019,1,2,1,1,5,35
S-O21-PRYE-020,1,2,1,1,5,55
S-O21-PRYE-020,1,2,1,1,4,45
S-O21-QUPH-107,2,1,1,3,5,45
S-O21-QUPH-107,2,1,2,2,5,45
S-P21-ACPL-059,2,2,1,1,5,35
S-P21-ACPL-059,1,1,1,1,5,35
S-P21-LAUN-040,1,1,1,2,5,55
S-P21-LAUN-040,2,2,1,3,5,55
S-Q21-ACRU-023,3,1,2,5,5,45
S-Q21-ACRU-023,2,1,1,5,5,45
S-Q21-ACRU-024,2,1,2,4,5,45
S-Q21-ACRU-024,3,1,2,8,5,45
S-Q21-ACRU-059,2,1,2,3,5,35
S-Q21-ACRU-059,2,1,2,3,5,35
S-Q21-ACRU-068,3,1,2,8,4,45
S-Q21-ACRU-068,3,1,3,9,5,45
S-Q21-GYDI-040,1,1,1,1,5,35
S-Q21-GYDI-040,1,1,2,1,5,45
S-Q21-ULAM-004,2,2,2,1,5,25
S-Q21-ULAM-004,1,2,2,1,5,25
S-Q21-ULAM-012,1,2,2,1,5,15
S-Q21-ULAM-012,1,2,2,1,5,25
S-R21-CACA-002,2,2,2,1,4,35
S-R21-CACA-002,2,2,1,1,5,35
S-R21-CACA-035,1,2,1,1,4,55
S-R21-CACA-035,1,2,2,2,4,55
S-R21-CACA-037,3,2,3,2,3,45
S-R21-CACA-037,2,2,2,2,4,45
S-R21-CACA-038,2,2,2,3,5,55
S-R21-CACA-038,3,2,2,3,4,55
S-R21-CRVI-044,1,2,2,2,5,45
S-R21-CRVI-044,1,2,2,2,5,45
S-S22-QUVI-011,2,1,1,3,3,45
S-S22-QUVI-011,3,1,3,4,4,65
S-T18-COKO-028,1,1,1,1,4,35
S-T18-COKO-028,1,1,1,2,4,45
S-U16-LAUN-009,2,1,1,2,3,35
S-U16-LAUN-009,2,1,1,3,4,45
S-U16-LAUN-019,1,1,1,1,5,45
S-U16-LAUN-019,1,1,1,2,5,45
S-U16-ULAL-016,3,1,2,3,4,75
S-U16-ULAL-016,4,1,2,7,5,65
